"Var1"	"Var2"	"weight"
"1"	"ph_1061"	"AACY020068177"	0.85553418624813
"2"	"ph_10022"	"AACY020080403"	0.929439642406491
"3"	"ph_1051"	"AACY020080403"	0.967011529544
"4"	"ph_10566"	"AACY020080403"	0.849405203322567
"5"	"ph_10889"	"AACY020080403"	0.943964355112772
"6"	"ph_11636"	"AACY020080403"	0.971099641948397
"7"	"ph_1190"	"AACY020080403"	0.948249649537314
"8"	"ph_12601"	"AACY020080403"	0.95568654253225
"9"	"ph_12792"	"AACY020080403"	0.966875510927773
"10"	"ph_13481"	"AACY020080403"	0.955637378032867
"11"	"ph_13902"	"AACY020080403"	0.936948147328415
"12"	"ph_13974"	"AACY020080403"	0.946630653656778
"13"	"ph_15881"	"AACY020080403"	0.92907017800525
"14"	"ph_1662"	"AACY020080403"	0.937905917238025
"15"	"ph_17206"	"AACY020080403"	0.934276206037797
"16"	"ph_1727"	"AACY020080403"	0.967699562124643
"17"	"ph_17617"	"AACY020080403"	0.947490051014276
"18"	"ph_18998"	"AACY020080403"	0.953617970184278
"19"	"ph_20662"	"AACY020080403"	0.959090279625395
"20"	"ph_21056"	"AACY020080403"	0.959435660465008
"21"	"ph_21152"	"AACY020080403"	0.959539728449731
"22"	"ph_2125"	"AACY020080403"	0.802150791676074
"23"	"ph_21711"	"AACY020080403"	0.839050179559527
"24"	"ph_2402"	"AACY020080403"	0.961226335820019
"25"	"ph_25845"	"AACY020080403"	0.960688422407895
"26"	"ph_28685"	"AACY020080403"	0.950674398338821
"27"	"ph_2952"	"AACY020080403"	0.941054092701426
"28"	"ph_3150"	"AACY020080403"	0.966755237321934
"29"	"ph_3175"	"AACY020080403"	0.964959482687641
"30"	"ph_3204"	"AACY020080403"	0.932914191579454
"31"	"ph_3311"	"AACY020080403"	0.971336913469751
"32"	"ph_3477"	"AACY020080403"	0.968586977998045
"33"	"ph_3537"	"AACY020080403"	0.962845386388327
"34"	"ph_3538"	"AACY020080403"	0.892560448225423
"35"	"ph_3544"	"AACY020080403"	0.873278805757363
"36"	"ph_3772"	"AACY020080403"	0.937559215311991
"37"	"ph_4072"	"AACY020080403"	0.950964980703338
"38"	"ph_4199"	"AACY020080403"	0.906610979675067
"39"	"ph_505"	"AACY020080403"	0.841706128260652
"40"	"ph_5484"	"AACY020080403"	0.964189206920701
"41"	"ph_5516"	"AACY020080403"	0.923850729581837
"42"	"ph_5518"	"AACY020080403"	0.960485831827093
"43"	"ph_697"	"AACY020080403"	0.911926195077696
